id_orden,fecha,id_producto,cantidad,precio
1,2024-11-11,360,13,64.58539
1,2024-11-11,343,8,44.13798
2,2024-05-21,64,8,34.1974
2,2024-05-21,477,3,29.16186
3,2024-12-29,157,19,94.95794
3,2024-12-29,390,4,52.68946
4,2025-02-08,126,17,16.96243
5,2025-04-30,3,6,41.51467
6,2024-11-04,16,8,21.44992
7,2024-07-02,404,9,17.97807
7,2024-07-02,15,10,64.16219
8,2025-01-01,357,14,31.18955
9,2024-12-01,104,13,84.28971
10,2024-05-18,328,9,78.78869
10,2024-05-18,307,9,11.12961
11,2024-12-01,370,5,24.18989
12,2025-01-29,350,6,77.29605
13,2024-11-26,264,5,43.60449
14,2024-06-06,157,13,55.41322
14,2024-06-06,262,1,21.4146
15,2024-11-13,386,4,54.52069
16,2024-06-16,138,7,29.03342
16,2024-06-16,29,8,37.04087
17,2025-01-02,57,3,46.76069
18,2024-08-09,354,1,29.87926
19,2024-10-28,44,6,17.84391
19,2024-10-28,164,3,49.86228
20,2024-09-28,163,18,20.86119
21,2024-10-13,106,10,53.05007
21,2024-10-13,308,9,52.82624
22,2024-08-08,34,17,54.00302
23,2024-07-17,24,10,22.66543
24,2025-03-24,459,4,81.6934
25,2024-11-06,34,12,62.50603
26,2024-05-05,43,15,10.60911
26,2024-05-05,112,5,75.19532
27,2024-05-08,129,11,45.69567
28,2025-02-05,275,20,47.07806
28,2025-02-05,226,10,63.93071
29,2024-09-08,70,10,91.88623
30,2024-09-12,222,12,28.22771
31,2024-08-13,493,3,56.8476
32,2024-11-21,127,20,93.27408
33,2024-10-30,297,4,13.71165
33,2024-10-30,410,7,99.2021
34,2025-01-25,172,11,73.43161
35,2024-10-02,87,7,84.27803
36,2024-08-17,27,15,24.35867
37,2025-02-06,387,11,21.63219
38,2025-01-02,292,1,42.26911
39,2025-04-12,222,17,90.46529
40,2024-07-28,106,14,70.76975
41,2024-11-23,146,16,27.48259
42,2024-08-31,497,5,14.70484
43,2024-10-24,359,16,70.40036
44,2024-09-19,38,20,60.22939
45,2025-03-31,70,17,88.24798
46,2024-12-07,119,15,16.26107
47,2024-11-20,41,11,90.95263
48,2024-11-01,5,2,64.25163
48,2024-11-01,294,5,18.37464
49,2024-10-22,105,1,61.64732
50,2024-09-20,53,16,56.77152
51,2024-06-12,104,7,55.5161
51,2024-06-12,460,1,26.55921
52,2024-09-12,234,19,70.37641
52,2024-09-12,291,5,56.28849
53,2024-12-25,60,17,14.5955
54,2024-06-17,89,12,64.82757
55,2025-04-05,74,5,62.28763
56,2025-02-11,224,11,46.99072
57,2024-12-02,406,10,36.11162
58,2024-06-03,270,18,48.31511
59,2025-02-07,329,16,79.89771
60,2025-04-27,282,15,24.03083
61,2024-12-03,463,10,28.01716
62,2024-05-03,194,13,53.19379
63,2025-03-30,79,2,28.07487
64,2024-07-28,302,3,47.99173
64,2024-07-28,278,1,94.93582
65,2025-04-16,54,18,38.7337
65,2025-04-16,34,4,62.32182
66,2024-12-24,295,10,77.90787
67,2024-11-19,40,5,40.65047
68,2024-09-24,485,18,46.84264
68,2024-09-24,276,4,50.36195
69,2025-03-13,264,4,42.83266
70,2025-04-04,359,8,93.47263
70,2025-04-04,337,5,80.20308
71,2024-08-07,404,1,73.46962
72,2024-04-30,373,10,33.44268
73,2025-03-31,448,1,93.51584
74,2024-07-05,337,3,17.35814
74,2024-07-05,246,1,78.72156
75,2024-12-21,160,9,76.38743
76,2024-08-15,379,17,63.978
77,2024-07-20,421,19,86.38368
78,2024-12-06,270,13,72.51038
79,2024-09-02,242,11,37.90289
80,2024-07-02,266,4,36.36421
81,2024-07-31,128,11,14.20288
82,2024-09-20,291,13,64.35712
83,2024-11-12,36,3,93.90418
83,2024-11-12,479,7,58.47985
84,2024-05-31,119,19,97.12591
85,2024-10-17,240,19,13.26463
86,2025-03-07,147,7,30.03157
87,2024-12-30,463,13,35.16221
88,2025-01-27,127,3,13.31622
89,2024-05-27,470,6,58.52769
90,2024-07-24,469,20,62.75518
91,2024-09-25,342,5,90.03242
91,2024-09-25,194,2,67.24112
92,2025-02-08,471,19,57.791
92,2025-02-08,224,5,78.95381
93,2025-04-03,77,8,44.75587
93,2025-04-03,27,7,84.21427
94,2025-03-05,299,15,22.74326
95,2024-07-23,490,9,11.61131
96,2025-04-21,342,19,40.14122
97,2024-12-28,346,8,84.69572
98,2024-05-09,434,6,68.96527
99,2025-01-27,476,19,62.94575
99,2025-01-27,275,8,25.73571
100,2025-01-09,21,5,32.28595
100,2025-01-09,463,2,65.18156
101,2025-02-17,416,16,33.00275
102,2024-08-16,212,14,62.65344
103,2025-03-24,89,5,69.50746
104,2025-04-01,117,14,81.44779
105,2024-11-06,243,10,18.86973
105,2024-11-06,356,2,26.08576
106,2024-10-24,164,6,59.8804
107,2024-08-24,256,4,67.06331
108,2025-03-10,97,10,77.242
109,2024-06-30,447,2,16.52459
110,2025-01-13,137,11,81.65504
110,2025-01-13,404,7,58.49709
111,2024-09-29,437,17,67.95135
112,2024-08-04,119,2,61.47909
112,2024-08-04,139,4,40.69482
113,2024-05-17,420,2,43.2766
113,2024-05-17,283,3,67.55593
114,2024-06-23,443,3,35.47109
115,2024-12-16,88,16,91.55262
115,2024-12-16,417,10,61.44361
116,2024-08-10,304,15,49.8531
116,2024-08-10,162,6,61.6541
117,2024-05-02,237,2,93.16135
118,2025-01-07,21,6,16.69448
119,2025-04-01,98,9,18.885
119,2025-04-01,38,6,54.70537
120,2024-07-23,363,2,41.36728
120,2024-07-23,288,4,47.29925
121,2024-10-22,236,6,57.07745
121,2024-10-22,430,2,96.33607
122,2025-04-18,325,11,77.85952
123,2024-06-17,495,13,51.00583
123,2024-06-17,110,4,49.05866
124,2024-11-19,25,3,31.91481
125,2024-11-07,70,4,23.35731
126,2024-06-26,161,15,27.18951
127,2024-06-07,418,13,25.99811
128,2025-04-16,446,1,45.56154
129,2025-01-16,355,11,75.32949
129,2025-01-16,234,8,45.51605
130,2024-11-04,478,18,13.01496
131,2025-01-04,345,8,18.5473
131,2025-01-04,300,6,30.46664
132,2024-12-19,322,13,71.17346
132,2024-12-19,19,9,67.56299
133,2025-04-27,109,5,64.42403
134,2024-11-01,383,8,37.16926
135,2024-12-31,387,7,14.95841
136,2025-02-25,418,6,64.50112
136,2025-02-25,281,9,66.83579
137,2024-09-01,51,1,64.3282
138,2025-01-19,22,14,25.74828
139,2025-01-22,138,20,57.80553
140,2024-09-06,471,15,34.92442
141,2024-09-04,146,16,30.54074
142,2024-05-03,168,11,13.41837
143,2024-11-02,71,15,90.58077
144,2025-01-06,231,16,38.49081
144,2025-01-06,283,8,47.27919
145,2024-11-17,81,18,33.00535
146,2024-12-19,169,6,59.05883
147,2024-09-29,264,17,58.40652
147,2024-09-29,458,9,19.1431
148,2025-04-16,366,9,34.09317
149,2024-12-29,410,19,17.0036
150,2024-11-24,259,16,93.2423
151,2024-06-25,165,14,27.19404
152,2024-08-17,349,19,57.39753
153,2024-09-26,15,10,78.4226
154,2024-10-04,133,17,69.04525
155,2024-12-22,281,17,86.1281
156,2025-02-16,328,1,37.67335
157,2024-06-01,394,4,33.91666
158,2024-05-18,280,10,60.34625
158,2024-05-18,251,7,60.83903
159,2024-05-22,24,7,10.87619
160,2025-04-11,114,16,90.82901
161,2024-06-26,426,2,35.88813
161,2024-06-26,164,3,18.89545
162,2024-09-02,378,12,76.41084
162,2024-09-02,195,2,86.52146
163,2024-11-13,194,1,48.87609
164,2025-04-11,252,9,18.38772
165,2025-02-08,370,8,61.29597
165,2025-02-08,26,2,57.5724
166,2025-04-28,46,14,29.54334
166,2025-04-28,80,10,58.6065
167,2025-02-16,455,16,65.57664
167,2025-02-16,144,5,98.02184
168,2025-03-29,120,19,60.74761
169,2025-02-28,444,10,23.26763
