id,fecha,id_cliente,id_corresponsal
1,2024-11-11,192,199
2,2024-05-21,378,579
3,2024-12-29,970,974
4,2025-02-08,142,432
5,2025-04-30,520,204
6,2024-11-04,664,454
7,2024-07-02,318,292
8,2025-01-01,979,459
9,2024-12-01,556,172
10,2024-05-18,845,162
11,2024-12-01,173,67
12,2025-01-29,839,399
13,2024-11-26,812,961
14,2024-06-06,819,95
15,2024-11-13,259,240
16,2024-06-16,262,872
17,2025-01-02,58,364
18,2024-08-09,678,651
19,2024-10-28,401,328
20,2024-09-28,501,526
21,2024-10-13,49,230
22,2024-08-08,998,718
23,2024-07-17,155,404
24,2025-03-24,872,402
25,2024-11-06,512,297
26,2024-05-05,112,400
27,2024-05-08,885,838
28,2025-02-05,770,345
29,2024-09-08,964,400
30,2024-09-12,950,152
31,2024-08-13,205,848
32,2024-11-21,621,447
33,2024-10-30,228,513
34,2025-01-25,640,167
35,2024-10-02,161,436
36,2024-08-17,240,33
37,2025-02-06,306,342
38,2025-01-02,549,164
39,2025-04-12,837,593
40,2024-07-28,186,863
41,2024-11-23,152,635
42,2024-08-31,405,417
43,2024-10-24,24,274
44,2024-09-19,671,986
45,2025-03-31,142,491
46,2024-12-07,361,835
47,2024-11-20,678,361
48,2024-11-01,337,142
49,2024-10-22,770,192
50,2024-09-20,632,578
51,2024-06-12,202,274
52,2024-09-12,617,204
53,2024-12-25,284,985
54,2024-06-17,548,656
55,2025-04-05,896,432
56,2025-02-11,374,510
57,2024-12-02,519,955
58,2024-06-03,355,603
59,2025-02-07,185,130
60,2025-04-27,532,411
61,2024-12-03,255,376
62,2024-05-03,871,906
63,2025-03-30,415,677
64,2024-07-28,174,122
65,2025-04-16,805,644
66,2024-12-24,988,375
67,2024-11-19,670,8
68,2024-09-24,153,42
69,2025-03-13,134,574
70,2025-04-04,547,765
71,2024-08-07,384,551
72,2024-04-30,730,285
73,2025-03-31,766,753
74,2024-07-05,816,971
75,2024-12-21,251,435
76,2024-08-15,887,176
77,2024-07-20,487,121
78,2024-12-06,787,587
79,2024-09-02,817,270
80,2024-07-02,684,312
81,2024-07-31,238,406
82,2024-09-20,194,14
83,2024-11-12,598,339
84,2024-05-31,287,178
85,2024-10-17,254,131
86,2025-03-07,706,92
87,2024-12-30,422,98
88,2025-01-27,441,335
89,2024-05-27,534,190
90,2024-07-24,558,833
91,2024-09-25,649,161
92,2025-02-08,965,822
93,2025-04-03,616,502
94,2025-03-05,230,635
95,2024-07-23,393,885
96,2025-04-21,300,713
97,2024-12-28,926,903
98,2024-05-09,203,472
99,2025-01-27,657,564
100,2025-01-09,736,576
101,2025-02-17,655,738
102,2024-08-16,310,809
103,2025-03-24,964,927
104,2025-04-01,408,925
105,2024-11-06,393,987
106,2024-10-24,100,582
107,2024-08-24,667,825
108,2025-03-10,28,885
109,2024-06-30,952,748
110,2025-01-13,313,873
111,2024-09-29,16,608
112,2024-08-04,999,771
113,2024-05-17,903,311
114,2024-06-23,57,954
115,2024-12-16,11,420
116,2024-08-10,382,750
117,2024-05-02,776,758
118,2025-01-07,853,941
119,2025-04-01,742,582
120,2024-07-23,471,960
121,2024-10-22,98,676
122,2025-04-18,941,375
123,2024-06-17,859,748
124,2024-11-19,672,710
125,2024-11-07,42,546
126,2024-06-26,993,321
127,2024-06-07,249,280
128,2025-04-16,535,534
129,2025-01-16,588,501
130,2024-11-04,644,797
131,2025-01-04,615,148
132,2024-12-19,435,460
133,2025-04-27,298,68
134,2024-11-01,475,444
135,2024-12-31,248,436
136,2025-02-25,475,26
137,2024-09-01,176,862
138,2025-01-19,166,337
139,2025-01-22,117,641
140,2024-09-06,641,284
141,2024-09-04,752,1
142,2024-05-03,268,258
143,2024-11-02,783,480
144,2025-01-06,105,760
145,2024-11-17,685,73
146,2024-12-19,603,816
147,2024-09-29,612,566
148,2025-04-16,83,475
149,2024-12-29,228,583
150,2024-11-24,396,31
151,2024-06-25,173,772
152,2024-08-17,577,20
153,2024-09-26,984,904
154,2024-10-04,744,989
155,2024-12-22,592,784
156,2025-02-16,700,206
157,2024-06-01,372,107
158,2024-05-18,425,981
159,2024-05-22,745,949
160,2025-04-11,942,901
161,2024-06-26,905,980
162,2024-09-02,806,34
163,2024-11-13,543,756
164,2025-04-11,226,209
165,2025-02-08,682,47
166,2025-04-28,765,574
167,2025-02-16,257,589
168,2025-03-29,683,54
169,2025-02-28,218,196
170,2024-07-02,419,816
171,2025-01-16,147,496
172,2024-05-22,241,758
173,2024-07-06,512,636
174,2024-05-22,616,265
175,2024-08-05,815,517
176,2024-08-09,26,399
177,2025-03-01,574,957
178,2025-02-17,984,835
179,2024-06-06,556,620
180,2025-01-01,212,401
181,2024-12-18,952,834
182,2024-08-07,977,116
183,2024-06-10,978,775
184,2024-10-23,119,73
185,2024-05-26,855,635
186,2024-11-23,459,41
187,2024-07-07,778,209
188,2024-11-11,575,332
189,2025-03-03,342,719
190,2024-06-14,723,410
191,2025-02-05,162,41
192,2024-10-07,382,779
193,2024-12-25,624,285
194,2024-06-24,566,243
195,2024-10-28,27,357
196,2024-12-27,762,839
197,2025-02-02,908,29
198,2025-01-12,216,409
199,2025-04-16,853,898
200,2025-03-12,878,974
201,2025-04-15,829,975
202,2024-11-19,96,62
203,2025-02-21,890,825
204,2025-02-14,789,796
205,2025-02-13,190,635
206,2025-02-03,388,56
207,2025-03-28,365,359
208,2025-04-07,829,576
209,2025-03-11,213,94
210,2025-01-14,837,711
211,2024-09-26,472,893
212,2025-04-12,923,587
213,2024-08-11,988,500
214,2025-02-05,121,62
215,2025-01-23,751,290
216,2025-02-06,811,579
217,2024-07-03,199,598
218,2025-02-18,849,652
219,2024-10-14,164,128
220,2025-04-16,614,803
221,2024-05-08,364,751
222,2024-06-11,114,696
223,2024-09-15,92,641
224,2024-12-03,205,937
225,2025-03-05,314,521
226,2025-03-04,253,602
227,2025-02-01,419,528
228,2024-08-01,58,911
229,2024-05-16,191,277
230,2025-01-01,648,372
231,2024-08-30,903,955
232,2024-05-11,478,757
233,2024-09-12,57,549
234,2024-12-01,527,935
235,2025-04-06,180,172
236,2024-06-27,482,30
237,2024-10-03,853,580
238,2025-01-05,950,824
239,2024-07-09,336,5
240,2024-05-30,277,33
241,2025-01-04,464,738
242,2024-04-30,136,340
243,2024-06-11,918,838
244,2025-01-27,68,674
245,2025-01-23,885,219
246,2024-12-02,747,866
247,2025-04-09,750,479
248,2024-11-03,928,56
249,2024-11-20,320,924
250,2025-04-07,439,262
251,2025-03-28,114,898
252,2024-08-11,992,561
253,2024-07-23,835,340
254,2024-08-24,693,975
255,2025-03-18,817,103
256,2024-06-01,16,791
257,2024-11-19,477,714
258,2024-08-13,320,983
259,2025-04-01,17,380
260,2025-04-28,711,785
261,2025-01-25,893,954
262,2024-12-30,286,589
263,2024-10-08,725,963
264,2024-08-13,786,369
265,2024-10-27,431,269
266,2025-04-13,153,748
267,2024-07-10,116,727
268,2024-08-23,70,784
269,2024-08-21,555,533
270,2024-06-23,213,434
271,2024-10-31,982,105
272,2024-11-30,10,163
273,2024-05-14,135,633
274,2024-09-10,363,401
275,2024-12-06,851,171
276,2024-06-18,68,916
277,2024-06-25,513,698
278,2025-02-06,69,25
279,2024-05-31,267,600
280,2024-10-23,805,413
281,2024-11-02,184,795
282,2024-08-07,798,633
283,2025-01-20,197,987
284,2024-11-03,348,51
285,2025-02-20,582,56
286,2024-08-18,223,979
